id,media,leaning,date,title,short_opening,URL
C153,GlobalNews,center,2023/2/24,Brad Paisley drops song feat. Zelenskyy on 1st anniversary of Russian invasion,"Brad Paisley released a new song entitled_'Same Here' featuring Ukrainian President Volodymyr Zelenskyy_Friday, marking one year since Russia initiated war in Ukraine.",
C154,GlobalNews,center,2023/5/12,Eurovision organizers reject Zelenskyy__ request to make video address at contest,"This weekend's Eurovision Song Contest will have Ukrainian flags, Ukrainian musicians and Ukrainian fans - but not the country's wartime leader.",
C155,GlobalNews,center,2024/5/7,Ukraine says it foiled a Russian spy plot to assassinate Zelenskyy,"Two colonels in the State Guard of Ukraine were detained on suspicion of enacting the plan drawn up by Russia__ Federal Security Service, a statement said.",
C156,GlobalNews,center,2023/9/21,Zelenskyy makes case for more aid to U.S. Congress as support under strain,"Ukrainian President Volodymyr Zelenskyy returned to Washington for a whirlwind one-day visit, this time facing pressure from Republicans questioning U.S. aid to Ukraine.",
C157,GlobalNews,center,2024/8/23,"Biden speaks to Zelenskyy, pledges U.S. military aid for Ukraine Independence Day","The U.S. also imposed sanctions on more than 400 entities and individuals for supporting Russia's war effort in Ukraine, including Chinese companies.",
C158,GlobalNews,center,2024/9/27,"Trump, meeting with Zelenskyy, says he has __ood relationship_ with Putin","As he was preparing to sit down for the Friday meeting, Trump was asked by a reporter if Ukraine could win the war and he replied, __ure. They could._",
C159,GlobalNews,center,2022/11/6,"Russia __uffering serious losses_ in eastern Ukraine, Zelenskyy says","""Very fierce Russian attacks on Donetsk region are continuing. The enemy is suffering serious losses there,"" Zelenskyy said in a video address.",
C160,GlobalNews,center,2023/9/19,Ukraine__ Zelenskyy will visit Canada for 1st time since Russian invasion: sources,"Canada has been a fervent supporter of Ukraine during the war, with Prime Minister Justin Trudeau and Ukrainian President Volodymyr Zelenskyy speaking often.",
C161,WSJOpinions,center-right,2025-03-05,Zelensky Issues a Tacit Apology,,
C162,WSJOpinions,center-right,2024-09-27,Zelensky Blunders Into U.S. Election Politics,,
C163,WSJOpinions,center-right,2022-04-01,"Churchill, Zelensky and the American Right",,
