date,title,short_opening,url,label,sentiment
2024-07-02,Hungary's Orbán in Kyiv for talks withZelenskyyin first visit since the war began,"BUDAPEST, Hungary  Hungarian Prime Minister Viktor Orbn was in Kyiv on Tuesday for talks with Ukrainian President Volodymyr Zelenskyy, his first visit to the neighboring country since Russia's full-scale invasion in February 2022 as Budapest has repeatedly broken ranks with the rest of the European Union and leaned toward Moscow.",https://www.npr.org/2024/07/02/nx-s1-5026348/orban-hungary-ukraine-kyiv-meets-with-zelenskyy,Diplomatic Engagements,neutral
2024-06-02,Zelenskyyaccuses China of helping Russia undermine peace summit,"SINGAPORE  Ukrainian president Volodymyr Zelenskyy has accused China of helping Russia in actively blocking countries from participating in this months peace conference in Switzerland, to which Ukraine says 106 countries have so far confirmed their attendance.",https://www.npr.org/2024/06/02/g-s1-2426/zelenskyy-accuses-china-of-helping-russia-undermine-peace-summit,Russia-Related Rhetoric,neutral
2024-05-21,Zelenskyy's popularity in Ukraine has fallen. Will he hold elections?,"Steve Inskeep Ukrainian President Zelenskyy's approval rating soared to a high of 90% after Russia's full-scale invasion in 2022. As the war drags on, his popularity has waned.",https://www.npr.org/2024/05/21/1252641146/zelenskyys-popularity-in-ukraine-has-fallen-will-he-hold-elections,Media Representation,negative
2024-05-21,"As the war in Ukraine drags on,Zelenskyy's popularity has waned","NPR's Steve Inskeep talks to former U.S. Ambassador to Ukraine John Herbst about how as the war with Russia drags on, Ukrainian President Zelenskyy's approval rating has dropped.",https://www.npr.org/2024/05/21/1252623096/as-the-war-in-ukraine-drags-on-zelenskyy-s-popularity-has-waned,Media Representation,negative
2024-05-05,"Ukraine'sZelenskyycalls God an ""ally"" against Russia in Orthodox Easter message","KYIV, Ukraine  As Ukraine marked its third Easter at war, Russia launched a barrage of drones concentrated in Ukraine's east and claimed its troops took control of a village they had been targeting.",https://www.npr.org/2024/05/05/1249207522/ukraines-zelenskyy-calls-god-an-ally-against-russia-in-orthodox-easter-message,Media Representation,neutral
2024-04-17,Zelenskyysays Ukraine deserves the same military help Israel received against Iran,President Zelenskyy urges allies to show Ukraine the same support they gave Israel in repelling Iran's aerial attack. The U.S. and allies helped Israel take down some 300 Iranian drones and missiles.,https://www.npr.org/2024/04/17/1245238031/zelenskyy-says-ukraine-deserves-the-same-military-help-israel-received-against-i,Aid Policies,neutral
2024-03-31,Politics chat:Zelenskyyappeals for aid; Robert F. Kennedy Jr names running mate,"Ukrainian Pres. Volodymyr Zelenskyy is again appealing for U.S. aid, and Congress seems more receptive now than it has been recently.",https://www.npr.org/2024/03/31/1241888287/politics-chat-zelenskyy-appeals-for-aid-robert-f-kennedy-jr-names-running-mate,Aid Policies,positive
2024-02-25,"31,000 Ukrainian troops have been killed so far in the war,Zelenskyysays","Joanna Kakissis Ukrainian President Volodymyr Zelenskyy answers media questions, during his press conference in Kyiv, Ukraine, on Sunday.",https://www.npr.org/2024/02/25/1233801790/ukraine-troops-killed-war-zelenskyy-russia-ammunition,Humanitarian Crisis,neutral
2024-02-09,Zelenskyyreplaces Ukraine's army's leader almost 2 years into war with Russia,"STEVE INSKEEP, HOST: President Volodymyr Zelenskyy says he is sidelining his military commander as Russia's full-scale invasion of Ukraine approaches its third year.",https://www.npr.org/2024/02/09/1230337044/zelenskyy-replaces-ukraines-armys-leader-almost-2-years-into-war-with-russia,Domestic Governance,neutral
2024-02-08,Ukraine'sZelenskyyreplaces the army's leader almost 2 years into war with Russia,"KYIV, Ukraine (AP)  Ukraine's president replaced his top general Thursday in a shake-up aimed at reigniting momentum in the deadlocked war with Russia, which is grinding into its third year as the country grapples with shortages of ammunition and personnel and struggles to maintain support from the West.",https://www.npr.org/2024/02/08/1230053272/ukraine-zelenskyy-replaces-army-leader,Domestic Governance,neutral
