date,title,short_opening,url
2023-01-19,"Pentagon sends new US$2.5B military aid package to Ukraine, including armoured vehicles",The United States said on Thursday it would send hundreds of armored vehicles plus rockets and artillery shells to Ukraine as part of a $2.5 billion military assistance package.,https://globalnews.ca/news/9423706/united-states-ukraine-military-aid-package/
2023-01-17,6 children among 45 killed in Russian strike on Ukraine apartment building,The Saturday afternoon strike on an apartment building in the southeastern city of Dnipro marks the deadliest attack on civilians since last spring.,https://globalnews.ca/news/9417499/ukraine-russia-dnipro-strike-deaths/
2023-01-15,Ukraine building suffers deadliest civilian attack in months as Russian strikes kill 30,The death toll from a Russian missile strike on an apartment building in the southeastern Ukrainian city of Dnipro rose to 30 Sunday.,https://globalnews.ca/news/9412400/ukraine-building-civilian-attack-russian-strike/
2023-01-14,Rocket debris once again discovered in Moldova from the war next door,"Moldova's Interior Ministry said the rocket debris was discovered in the village of Larga and that a bomb squad was deployed to the area, which was cordoned off.",https://globalnews.ca/news/9411432/moldova-rocket-debris-russia-ukraine/
2023-01-10,Zelenskyy thanks Trudeau for donating air defence system to Ukraine,"The NASAM is a medium-range ground-based air defence system that protects against drone, missile and aircraft attack with a high success rate.",https://globalnews.ca/news/9400363/ukraine-canada-air-defence-system/
2023-01-07,Russia ends self,"Russia's overnight bombing of regions in eastern Ukraine killed at least one, local officials said on Sunday, after Moscow ended a self-declared Christmas ceasefire.",https://globalnews.ca/news/9394876/russia-ukraine-ceasefire/
2023-01-03,"Trudeau speaks with Zelenskyy from Jamaica, appears to back Ukraine ‘peace formula’",Justin Trudeau and Volodymyr Zelenskyy discussed Canada's continued commitment to providing military and humanitarian aid to Ukraine as Russia's invasion nears the one-year mark.,https://globalnews.ca/news/9385420/ukraine-trudeau-zelenskyy-jamaica-peace/
2023-01-03,"After deadly Ukrainian strike, Russia preparing to step up drone attacks: Zelenskyy",At least 63 Russian soldiers were killed in an attack in the eastern Donetsk region after Ukrainian forces fired rockets from a HIMARS launch system.,https://globalnews.ca/news/9383603/russia-preparing-drone-attacks-ukraine-war/
2022-12-29,Massive Russian missile attack in Ukraine targets power stations amid freezing temps,"Ukraine faced a massive Russian missile attack Thursday, the biggest wave of strikes in weeks targeting power stations and other critical infrastructure during freezing weather.",https://globalnews.ca/news/9377144/russian-missile-attack-ukraine-targets-power-stations-dec-2022/
2022-12-27,Putin bans Russian oil exports to countries that impose price cap,"The decree, which includes a clause that allows for Putin to overrule the ban in special cases, stated: ""This...comes into force on Feb. 1, 2023, and applies until July 1, 2023.""",https://globalnews.ca/news/9374378/putin-russian-oil-export-ban/
2022-12-27,"From crypto and inflation to Zelenskyy, here’s what stood out in the ABCs of 2022","From the Pope's visit to Canada, to Elon Musk buying Twitter and the death of Queen Elizabeth. Here’s a rundown of the last 12 months in alphabetical order.",https://globalnews.ca/news/9373408/from-crypto-and-inflation-to-zelenskyy-heres-what-stood-out-in-the-abcs-of-2022/
2022-12-26,The struggle to save the plants of Kyiv’s Botanical Garden: ‘Great national loss’,"In the lush greenhouses of Kyiv's National Botanical Garden, staff are struggling to save a decades-old collection of tropical plants.",https://globalnews.ca/news/9373328/kyiv-botanical-garden-ukraine-russia-war/
2022-12-21,"‘Your support is crucial,’ Ukraine’s Zelenskyy tells U.S. Congress in historic address","The Ukrainian president pressed lawmakers to continue their support to help fight off Russia's invasion, as some Republicans openly question the need for further U.S. funds.",https://globalnews.ca/news/9366384/ukraine-zelenskyy-us-congress-address/
2022-12-21,"Zelenskyy thanks Biden, ‘ordinary Americans’ for supporting Ukraine at White House",Biden welcomed Zelenskyy to the Oval Office during the Ukrainian president's first known trip outside his country since Russia invaded in February.,https://globalnews.ca/news/9364169/zelenskyy-washington-visit-biden-meeting/
2022-12-20,Ukraine’s Zelenskyy set to visit Washington in 1st overseas trip of war: reports,"Sources familiar with the plans said Zelenskyy's visit on Wednesday, while expected, could still be called off at the last minute due to security concerns.",https://globalnews.ca/news/9363028/ukraine-zelenskyy-washington-trip/
2022-12-16,Zelenskyy ‘welcomed’ Canada’s move to revoke Nord Stream sanction exemption: PMO,Ukrainian President Volodymyr Zelenskyy 'welcomed' Canada’s decision to revoke a permit that allowed the export of a turbine being repaired in Montreal owned by Russia's Gazprom.,https://globalnews.ca/news/9354275/zelenskyy-trudeau-nord-stream-turbine-exemption/
2022-12-07,Ukraine President Volodymyr Zelenskyy named Time magazine’s person of the year,The U.S. magazine acknowledged Ukrainian President Volodymyr Zelenskyy's leadership during Russia’s invasion and also paid tribute to the people of Ukraine.,https://globalnews.ca/news/9331462/zelenskyy-time-person-of-the-year-2022/
2022-11-28,"Unless Russia runs out of missiles, Moscow won’t stop strikes: Ukraine’s Zelenskyy",Ukraine has gained an advantage on the battlefield in part from deploying western rocket systems that allow it to target Russian positions behind the front lines.,https://globalnews.ca/news/9308830/russia-ukraine-missile-strikes-zelenskyy/
2022-11-27,"Russia plotting new missile attacks, Ukraine’s Zelenskyy says","""We understand that the terrorists are planning new strikes. We know this for a fact,"" Zelenskyy said in his nightly video address.",https://globalnews.ca/news/9308391/russia-ukraine-missile-attack-volodymyr-zelenskyy/
2022-11-26,"Kyiv expects heavy snow as millions live with scarce electricity, heating","Grid operator Ukrenergo said that electricity producers were able to cover only three-quarters of consumption needs, necessitating restrictions and blackouts across the country.",https://globalnews.ca/news/9307735/kyiv-snow-electricity-heat-ukraine/
2022-11-26,"Ukraine, allies launch US$150M grain export plan to aid vulnerable nations","Zelenskyy said Kyiv had raised $150 million from more than 20 countries and the European Union to export grain to countries including Ethiopia, Sudan, South Sudan and Somalia.",https://globalnews.ca/news/9307453/ukraine-grain-export-plan/
2022-11-20,‘Significant breakthrough’ from allies amid Ukraine’s push through ‘darkness’: deputy PM,"Despite high spirits, the suffering and losses Ukraine has endured have been extremely “serious” and there are ways Canada and other allies can help, Olga Stefanishyna said.",https://globalnews.ca/news/9292412/ukraine-war-allies-support/
2022-11-18,Ukraine’s Zelenskyy calls on Canada to help on long,Ukrainian President Volodymyr Zelenskyy made the request in a pre-recorded video address to an international security conference in Halifax.,https://globalnews.ca/news/9290846/ukraine-zelenskyy-canada-peace-plan-russia/
2022-11-09,Sean Penn loans Oscar statuette to Ukrainian president Volodymyr Zelenskyy,"In a symbolic gesture, Sean Penn presented his Oscars statuette to Ukrainian president Volodymyr Zelenskyy during a recent meeting in Kyiv.",https://globalnews.ca/news/9264629/sean-penn-loans-oscar-statuette-to-ukrainian-president-volodymyr-zelenskyy/
